logLD50,sigma,n_obs,Response,Response_Unit,Endpoint,smiles,LD50_class
3.38021124171161,0.468644346092453,5,2140,mg/kg,LD50,c1ccc(-c2ccccc2)cc1,2
3.27875360095283,0.001,1,1900,mg/kg,LD50,c1ccc(-c2ccccc2-c2ccccc2)cc1,2
3.76573945852113,0.965709462857146,2,17000,mg/kg,LD50,Brc1ccc(-c2ccccc2)cc1Br,3
3.50514997831991,0.809573567516372,3,3200,mg/kg,LD50,c1ccc(N(c2ccccc2)c2ccccc2)cc1,2
3,0.001,1,1000,mg/kg,LD50,c1ccc(N=Nc2ccccc2)cc1,2
2.84509804001426,0.001,1,700,mg/kg,LD50,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2
2.20411998265593,0.205119982655925,2,100,mg/kg,LD50,c1ccc(-c2ccccn2)nc1,1
3.17609125905568,0.532715650266129,5,1580,mg/kg,LD50,c1ccncc1,2
4.07918124604763,0.001,1,12000,mg/kg,LD50,O=c1[nH]ccn1C1OC(CO[PH](=O)[O-])C(O)C1O.[Na+],3
3.16524432612531,0.001,1,1463,mg/kg,LD50,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2
3.47712125471966,1.001,1,3000,mg/kg,LD50,c1cnn(-c2cc(-n3cccn3)ncn2)c1,2
3.46239799789896,0.001,1,2900,mg/kg,LD50,c1ccc2c(c1)ncn2P(n1cnc2ccccc21)n1cnc2ccccc21,2
2.82865989653532,0.001,1,674,mg/kg,LD50,c1ccc(-n2cncn2)cc1,2
2.12710479836481,0.001,1,134,mg/kg,LD50,c1ccc(-n2cnnc2)cc1,1
3.26599637049508,1.001,1,1845,mg/kg,LD50,O[Fe]OC1CC(O)C(O)C(O)C1O,2
3.90308998699194,1.001,1,8000,mg/kg,LD50,c1ccc(C2=NN(c3ccccc3)C(c3ccccc3)C2)cc1,3
3.33041377334919,0.001,1,2140,mg/kg,LD50,c1ccc2c(c1)Cc1ccccc1N2,2
4,1.001,1,10000,mg/kg,LD50,C1C2CC3CC1CC(C2)C3,3
2.05307844348342,0.001,1,113,mg/kg,LD50,C1=CCC=C1,1
1.75587485567249,0.001,1,57,mg/kg,LD50,C1=CC=CCC=C1,1
3.30102999566398,1.001,1,2000,mg/kg,LD50,C1=CCC(c2ccccc2)CC1,2
3.71516735784846,0.001,1,5190,mg/kg,LD50,C1=CCC(C2OCC3(CC=CCC3)CO2)CC1,3
2.11394335230684,0.001,1,130,mg/kg,LD50,c1nc(NC2CC2)c2ncn(C3CC3)c2n1,1
3.69897000433602,1.001,1,5000,mg/kg,LD50,c1ccc2c(c1)CCc1ccccc1N2,2
2.82607480270083,0.001,1,670,mg/kg,LD50,C1=CC2C3CCC(C3)C2C1,2
3.30607391916324,0.661681579406448,4,1780,mg/kg,LD50,C1=CCCC=CCCC=CCC1,2
3.47963997506547,1.0673633827167,4,1077,mg/kg,LD50,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,2
3.48855071650044,0.001,1,3080,mg/kg,LD50,C(=NC1CCCCC1)c1ccccc1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2
2.57170883180869,0.001,1,373,mg/kg,LD50,C1CCC(NC2CCCCC2)CC1,1
2.88907562519182,1.41295437047216,2,2000,mg/kg,LD50,C1CCC(NC2CCCCC2)CC1.CC(C)(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O,2
3.72427586960079,0.001,1,5300,mg/kg,LD50,c1ccc2sc(SNC3CCCCC3)nc2c1,3
2.47712125471966,0.001,1,300,mg/kg,LD50,c1ccc(C2(c3ccccc3)COC(c3ccccc3)(C3CCCCN3)OC2)cc1,1
3.42324587393681,0.001,1,2650,mg/kg,LD50,c1ccc2c3c([nH]c2c1)CCCC3,2
2.24551266781415,0.001,1,176,mg/kg,LD50,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,1
3.28914283593233,0.806856362336894,3,1000,mg/kg,LD50,C1=CCCCC1,2
3.87793742783625,0.679967423500227,2,11400,mg/kg,LD50,C1CCCC1,3
3.9014723368612,0.703502332525185,2,5000,mg/kg,LD50,C1CCCCC1,2
1.31597034545692,0.001,1,20.7,mg/kg,LD50,C1CCCNCC1,0
2.14612803567824,0.001,1,140,mg/kg,LD50,C1CCc2nnnn2CC1,1
2.47712125471966,0.001,1,300,mg/kg,LD50,C1CCNC1,1
3.21748394421391,0.001,1,1650,mg/kg,LD50,C1CCOC1,2
2.69897000433602,0.001,1,500,mg/kg,LD50,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,1
2.32221929473392,0.001,1,210,mg/kg,LD50,c1ccc(N2CCNCC2)cc1,1
3.7041505168398,0.001,1,5060,mg/kg,LD50,c1ccc(C(N2CCOCC2)N2CCOCC2)cc1,3
2.96848294855394,0.001,1,930,mg/kg,LD50,c1ccc(N2CCOCC2)cc1,2
3.69082824129289,0.0583597857133068,2,5600,mg/kg,LD50,C1CN(SSN2CCOCC2)CCO1,3
3.68124123737559,0.001,1,4800,mg/kg,LD50,C1CN(SSSSN2CCOCC2)CCO1,2
1.17609125905568,0.001,1,15,mg/kg,LD50,C1CN1,0
1.11394335230684,0.001,1,13,mg/kg,LD50,C1CN1c1nc(N2CC2)nc(N2CC2)n1,0
1.99122607569249,0.001,1,98,mg/kg,LD50,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,1
2.5827927859142,1.25135432599859,2,215,mg/kg,LD50,C1CCC2=NCCCN2CC1,1
3.40645667832143,0.130250060123121,8,2600,mg/kg,LD50,C1CNCCN1,2
2.18792321815458,0.33159072172331,2,330,mg/kg,LD50,C1CO1,1
3.30102999566398,1.001,1,2000,mg/kg,LD50,C1CCCCCC2=C(CCCC1)CCCO2,2
3.41497334797082,0.001,1,2600,mg/kg,LD50,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2
3.18274399244545,0.571060312823605,8,1440,mg/kg,LD50,C1COCCN1,2
3.45178643552429,0.001,1,2830,mg/kg,LD50,C1COCCOCCOCCO1,2
3.14921911265538,0.001,1,1410,mg/kg,LD50,C1COCCOCCOCCOCCO1,2
2.25042000230889,0.001,1,178,mg/kg,LD50,C1CS1,1
3.47712125471966,0.001,1,3000,mg/kg,LD50,c1ccc(C2=C(c3ccccc3)SCCO2)cc1,2
3.45178643552429,0.001,1,2830,mg/kg,LD50,C1CSCCO1,2
2.35301733035718,0.0115946495349691,2,220,mg/kg,LD50,c1cc[n+]2c(c1)-c1cccc[n+]1CC2,1
3.18723861983148,0.001,1,1539,mg/kg,LD50,C1C[SiH2]C1,2
3.96378782734556,0.914048708002081,3,5000,mg/kg,LD50,C1N2CN3CN1CN(C2)C3,2
3.47712125471966,0.136393036473738,3,2000,mg/kg,LD50,c1ccc(C2CO2)cc1,2
3.38776881739048,0.0603892139517409,2,2130,mg/kg,LD50,C1CC2OC2CC1C1CO1,2
1.89209460269048,0.001,1,78,mg/kg,LD50,C1OC1C1CO1,1
2.81291335664286,0.001,1,650,mg/kg,LD50,c1ccc(C2=NCOCS2)cc1,2
3.30102999566398,1.001,1,2000,mg/kg,LD50,C=C(c1ccccc1)c1ccccc1,2
1.93028877562221,0.0391941729317274,2,93,mg/kg,LD50,C=CC#N,1
2.58804562952784,0.871643462622826,6,500,mg/kg,LD50,C=CC(=O)Nc1ccccc1,1
2.2491552768948,0.0740640178391189,2,210,mg/kg,LD50,C=CC(=O)OCC1CO1,1
2.25527250510331,0.001,1,180,mg/kg,LD50,C=CC(=O)OCCC#N,1
2.76863810124761,0.001,1,587,mg/kg,LD50,C=CC(=O)OCCCCOC(=O)C=C,2
2.30102999566398,0.7506768822573,3,200,mg/kg,LD50,C=CC(=O)OCCN=C=O,1
2.39794000867204,0.001,1,250,mg/kg,LD50,C=CC(=O)OCCOCCOC(=O)C=C,1
2.69897000433602,0.001,1,500,mg/kg,LD50,C=CC(=O)OCCOCCOCCOC(=O)C=C,1
2.91009054559407,0.001,1,813,mg/kg,LD50,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,2
3.31806333496276,0.001,1,2080,mg/kg,LD50,C=Cc1ccc(C=O)o1,2
3,0.001,1,1000,mg/kg,LD50,C=Cc1ccc(OCC2CO2)cc1,2
3.42324587393681,0.288463994431463,3,5000,mg/kg,LD50,C=Cc1ccccc1,2
2,0.809573567516372,3,200,mg/kg,LD50,C=Cc1ccccn1,1
3.75587485567249,0.136831105222657,3,10567,mg/kg,LD50,C=CC1CC2C=CC1C2,3
